Image_No,Item_description_english,Item_description_german,"food_num","processing_num","taste_num","category_num",protein_100g,fat_100g,carbs_100g,kcal_100g,no_items_image,gramms_total,protein_total,fat_total,carbs_total,Kcal_total,red,green,blue,object size,intensity,sd,complexity,norm. Complexity,medianpower,Recognizability,Familiarity,Valence,Arousal,Complexity,Palatability,Craving,Recognizability_Omnivor_Male,Recognizability_Omnivor_Female,Recognizability_Vegetarian_Male,Recognizability_Vegetarian_Female,Familiarity_Omnivor_Male,Familiarity_Omnivor_Female,Familiarity_Vegetarian_Male,Familiarity_Vegetarian_Female,Valence_Omnivor_Male,Valence_Omnivor_Female,Valence_Vegetarian_Male,Valence_Vegetarian_Female,Arousal_Omnivor_Male,Arousal_Omnivor_Female,Arousal_Vegetarian_Male,Arousal_Vegetarian_Female,Complexity_Omnivor_Male,Complexity_Omnivor_Female,Complexity_Vegetarian_Male,Complexity_Vegetarian_Female,Palatability_Omnivor_Male,Palatability_Omnivor_Female,Palatability_Vegetarian_Male,Palatability_Vegetarian_Female,Craving_Omnivor_Male,Craving_Omnivor_Female,Craving_Vegetarian_Male,Craving_Vegetarian_Female,,,
11,cheese and cold meat platter,Käse-/Wurstplatte,1,2,2,5,17.49,22.87,0.15,275.5,15,300,52.47,68.61,0.45,826.5,0.408750542,0.350106693,0.241142765,0.441214815,22.50542593,40.38784027,0.080814815,0.183164327,15.46970367,99.8,100.0,50.1,31.1,42.1,49.8,28.6,100.0,99.9,100.0,99.0,100.0,100.0,100.0,100.0,57.0,52.6,17.0,39.3,36.2,32.5,4.5,25.3,46.2,46.4,6.5,31.1,58.0,55.9,12.5,26.2,41.2,28.2,1.8,15.9,,,
12,ham sandwich,Schinkensandwich,1,2,2,,14.37,20.6,4.92,261.5,1,205,29.4585,42.23,10.086,536.075,0.429512352,0.363656297,0.206831351,0.392951852,46.60312963,54.04205322,0.144296296,0.367211137,15.15302467,98.4,98.9,49.4,34.7,49.4,51.3,34.7,95.8,98.8,100.0,100.0,95.8,100.0,100.0,100.0,56.9,57.3,28.0,34.8,47.7,35.3,5.8,29.8,55.9,46.6,51.5,45.7,59.0,61.7,34.8,30.0,46.7,40.5,13.8,18.3,,,
13,Frankfurt crown cake,Frankfurter Kranz,1,2,1,,4.88,24.05,32.31,363,1,2000,97.6,481,646.2,7260,0.455742822,0.31860452,0.225652658,0.584796296,59.79546667,68.14828491,0.239444444,0.409449318,17.25798607,99.7,98.3,56.7,40.2,55.5,62.2,41.0,100.0,99.4,100.0,100.0,95.5,98.9,100.0,100.0,60.0,56.8,66.1,48.4,47.0,34.9,63.9,31.9,58.4,54.9,61.4,50.6,66.6,61.1,73.5,54.1,39.2,35.5,61.1,45.1,,,
14,muffin,Muffin,1,2,1,,5.4,20,50,404,1,89,4.806,17.8,44.5,359.56,0.485998544,0.365888808,0.148112649,0.174322222,17.79120741,41.45908356,0.047222222,0.270890433,14.77614021,99.5,100.0,51.9,32.5,21.8,56.0,31.2,98.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0,46.9,57.9,71.5,41.1,28.9,32.6,61.9,28.0,17.7,22.1,53.1,16.7,55.9,59.0,74.6,45.8,38.6,26.5,68.1,21.9,,,
15,croissants,Croissants,1,2,1,,6.4,40.4,40,442,4,200,12.8,80.8,80,884,0.48606376,0.342897489,0.17103875,0.304233333,28.89564815,39.36359406,0.089962963,0.295703834,14.87429428,100.0,100.0,56.1,36.7,28.8,63.6,37.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.0,56.6,62.0,46.5,42.4,36.8,39.3,29.0,28.8,26.6,28.3,34.0,69.7,65.8,74.5,47.8,46.2,38.5,37.0,24.7,,,
16,pancakes,Pancakes,1,2,1,,7.86,20,45,378,4,800,62.88,160,360,3024,0.545796986,0.31167274,0.142530274,0.297296296,37.68038519,55.58075333,0.095333333,0.320667746,15.72995281,97.5,97.7,55.7,34.4,31.0,62.4,44.3,100.0,97.2,100.0,94.6,100.0,99.2,100.0,92.3,61.8,61.0,32.4,48.4,36.9,37.0,19.6,32.5,24.8,34.6,43.8,28.1,71.8,69.6,41.6,47.5,53.6,48.9,29.4,31.6,,,
17,"cheese burger, french fries and cola","Hamburger, Pommes, Cola",1,2,2,,5.34,9,20.3,185,3,720,38.448,64.8,146.16,1332,0.533772411,0.323090415,0.143137175,0.497733333,64.50212222,61.59811401,0.141462963,0.284214364,15.65483379,99.7,99.7,44.6,37.3,48.9,54.8,37.5,98.8,100.0,200.0,100.0,98.8,100.0,200.0,100.0,63.2,51.5,,16.8,55.4,38.4,,20.2,48.4,53.5,,41.3,74.7,58.6,,31.4,61.9,42.3,,8.9,,,
18,German krapfen,Berliner/ Krapfen,1,2,1,,6.67,13.33,41.67,317,1,60,4.002,7.998,25.002,190.2,0.449054652,0.3505747,0.200370648,0.399877778,40.6757037,47.98403931,0.170074074,0.425315143,16.73900032,100.0,99.6,53.3,31.3,25.5,64.8,35.9,100.0,100.0,100.0,100.0,100.0,99.2,100.0,100.0,56.3,51.3,58.0,52.5,36.1,29.2,28.3,31.0,21.3,28.1,22.7,25.9,69.6,64.4,74.3,57.3,47.4,34.1,37.7,26.5,,,
19,German krapfen,Krapfen,1,2,1,,6.67,13.33,41.67,317,5,300,20.01,39.99,125.01,951,0.431595285,0.332609301,0.235795415,0.308385185,27.05946667,43.15753555,0.094574074,0.306675154,16.06968117,99.2,100.0,56.8,38.6,29.5,61.6,37.3,100.0,98.2,100.0,100.0,100.0,100.0,100.0,100.0,62.6,64.3,29.7,42.8,45.8,42.9,18.7,27.5,20.6,30.4,48.7,32.0,69.7,70.1,18.0,48.4,46.1,42.9,35.7,15.1,,,
20,German krapfen,Krapfen,1,2,1,,6.67,13.33,41.67,317,5,300,20.01,39.99,125.01,951,0.449406857,0.335409823,0.21518332,0.465455556,39.63667037,49.5740242,0.114611111,0.246234275,16.55322456,98.9,98.9,53.4,34.1,31.5,62.5,33.6,98.3,98.6,100.0,100.0,98.3,98.6,100.0,100.0,59.7,51.6,63.5,47.1,44.5,29.6,31.0,28.3,29.2,33.3,21.5,32.2,69.2,61.6,77.5,53.7,41.9,32.9,38.0,23.3,,,
21,raspberry candies,Himbeerbonbons,1,2,1,,0.05,0,97,388,16,80,0.04,0,77.6,310.4,0.499420914,0.237340541,0.263238545,0.230614815,23.11768148,57.91986847,0.105351852,0.456830373,16.88743019,93.5,92.7,52.0,26.2,22.7,50.4,27.0,90.9,91.1,100.0,100.0,95.5,86.9,100.0,100.0,45.5,56.9,43.7,52.4,28.0,26.4,23.3,24.2,20.9,23.5,24.3,22.8,45.7,57.0,46.0,42.9,25.7,34.8,6.7,17.8,,,
22,french fries,Pommes Frites,1,2,2,2,3.75,17.04,34.095,295,70,220,8.25,37.488,75.009,649,0.508437864,0.367320012,0.124242124,0.367707407,32.54221111,47.33266449,0.118018519,0.320957686,14.87168789,100.0,99.3,49.6,33.6,31.5,57.6,32.5,100.0,100.0,100.0,100.0,98.5,99.3,100.0,100.0,57.3,50.7,17.3,46.7,33.6,35.0,16.3,36.2,29.7,32.9,40.0,28.1,60.1,62.4,21.7,55.1,36.1,35.6,1.3,30.8,,,
23,ham sandwich,Schinkensandwich,1,2,2,,14.67,20.26,6.28,265.13,1,200,29.34,40.52,12.56,530.26,0.474761123,0.342799031,0.182439846,0.311962963,36.79243333,53.97654724,0.097185185,0.311527959,15.33237934,99.5,100.0,45.1,32.1,46.6,46.2,30.2,99.0,99.4,100.0,100.0,100.0,100.0,100.0,100.0,60.2,49.2,35.5,23.4,40.5,29.6,11.6,33.5,38.8,50.8,41.7,48.4,60.8,52.3,38.3,20.7,53.0,29.3,10.0,12.6,,,
24,ice cream sandwiches,Eiswaffeln,1,2,1,,1.5,4.8,15,109,4,400,6,19.2,60,436,0.434772294,0.327852419,0.237375287,0.285211111,25.34471852,54.32305908,0.13462963,0.47203501,15.06377792,84.9,85.3,51.3,31.7,29.3,49.8,35.5,86.0,79.5,100.0,91.7,86.0,80.4,100.0,91.7,55.3,47.8,67.0,44.7,29.6,33.7,57.3,17.4,27.7,30.9,37.0,24.3,59.2,45.8,38.7,44.7,46.8,32.2,24.0,23.6,,,
25,ice cream with chocolate beans,Eis mit Smarties,1,2,1,,2.58,2.68,30.66,160,1,100,2.58,2.68,30.66,160,0.428834631,0.297127884,0.274037485,0.434022222,36.1987,66.81256104,0.1175,0.270723465,15.8099432,98.7,98.1,55.8,43.7,46.7,64.2,44.3,98.1,98.9,100.0,98.3,97.1,97.2,100.0,100.0,62.6,61.3,48.6,40.0,47.6,42.8,48.6,38.0,45.2,44.4,57.4,47.8,73.4,68.8,49.8,50.9,48.5,45.1,51.0,34.0,,,
26,chips,Chips,1,2,2,,5.48,35,48,539,15,34,1.8632,11.9,16.32,183.26,0.504990281,0.385094019,0.1099157,0.459981481,35.92179259,30.72798347,0.093222222,0.202665164,13.62229919,92.0,98.6,45.0,31.3,25.7,53.8,32.4,87.5,89.6,100.0,99.1,93.5,100.0,100.0,100.0,47.4,44.9,60.0,37.7,37.6,27.4,66.0,22.4,29.5,22.7,20.3,30.4,50.3,56.6,62.3,48.1,30.2,31.4,58.0,28.3,,,
27,opened chips bag,Chips (Tüte),1,2,2,,5.48,39.4,40.6,535,1,200,10.96,78.8,81.2,1070,0.467912325,0.36248404,0.169603635,0.318059259,35.20072963,54.60005951,0.079703704,0.25059388,15.33670044,97.9,99.3,49.8,38.4,26.7,60.6,39.4,100.0,95.0,100.0,100.0,97.8,100.0,100.0,100.0,49.9,48.1,70.3,49.1,38.0,36.2,43.3,42.6,23.0,29.1,35.3,25.7,62.0,60.0,70.5,57.6,45.0,36.4,62.8,32.5,,,
28,fruit cake,Obsttorte,1,2,1,,4.02,1.88,30.58,157,1,150,6.03,2.82,45.87,235.5,0.437398768,0.301924002,0.26067723,0.29867037,31.98746296,67.80223846,0.067481481,0.225939658,15.77686691,97.4,96.6,54.7,40.2,51.5,60.0,36.4,90.0,100.0,100.0,100.0,90.0,98.2,100.0,100.0,63.8,59.5,60.3,30.5,49.4,39.4,47.0,29.3,52.4,51.7,73.3,44.5,64.0,64.0,61.8,45.3,47.0,36.9,45.8,19.7,,,
29,cake (with gelatinized fruits),Kuchen (mit gummibärchen),1,2,1,,6.41,16.85,42.52,349,1,500,32.05,84.25,212.6,1745,0.469138247,0.353438004,0.177423749,0.471840741,53.86041481,55.27285767,0.143425926,0.303971051,17.64619637,95.5,94.4,45.4,28.7,33.2,46.3,30.4,97.2,98.0,100.0,84.5,95.8,96.0,100.0,85.7,41.7,49.0,56.7,38.3,34.2,27.8,27.3,22.0,38.1,34.2,26.8,25.0,46.8,45.7,62.2,40.3,33.0,30.6,35.1,23.3,,,
30,"french fries, chicken","Pommes,Hähnchen",1,2,2,5,17.29,8.14,3.7,156.67,1,900,155.61,73.26,33.3,1410.03,0.498125576,0.34091914,0.160955284,0.375588889,39.54447037,48.39371872,0.109518519,0.291591476,15.93821239,99.6,98.8,44.5,31.2,36.4,50.1,27.9,100.0,99.7,100.0,98.8,100.0,100.0,100.0,93.8,55.5,49.5,9.5,22.4,40.1,26.4,17.8,30.5,28.2,41.8,31.0,39.4,56.6,58.1,7.8,30.2,38.8,30.0,2.0,10.3,,,
31,cookies (mixed),Kekse (diverse),1,2,1,,7.78,25.64,56.81,489,4,24,1.8672,6.1536,13.6344,117.36,0.444539651,0.338497368,0.216962981,0.171188889,16.38988148,62.95888138,0.058425926,0.341295082,15.64200306,97.0,95.9,52.4,31.1,34.0,58.2,30.9,97.6,95.9,100.0,97.2,88.1,100.0,100.0,100.0,56.1,54.1,28.1,50.6,39.6,28.2,21.3,24.8,34.2,36.7,27.4,29.0,63.7,60.8,35.4,48.7,34.6,31.6,26.3,22.3,,,
32,pizza (with mushrooms),Pizza (Pilze),1,2,2,,6.55,5.64,21.27,165.45,1,550,36.025,31.02,116.985,909.975,0.54147893,0.304006595,0.154514475,0.531033333,72.99277407,61.04550552,0.188240741,0.354480084,17.01987076,100.0,100.0,59.3,40.9,39.0,67.0,41.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.5,59.6,48.3,51.1,47.4,39.9,35.0,36.6,42.0,37.5,37.3,39.2,70.7,69.5,59.0,58.9,52.5,43.2,22.2,29.3,,,
33,spaghetti with tomato sauce,Spaghetti mit Tomatensauce,1,2,2,,3.34,6.73,16.05,139,1,250,8.35,16.825,40.125,347.5,0.401498618,0.345331416,0.253169966,0.456366667,29.02363704,61.69625854,0.081407407,0.178381581,15.48868465,100.0,100.0,61.8,37.3,35.0,70.6,45.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.9,63.3,27.3,68.3,43.2,36.8,7.2,41.0,31.0,35.7,58.2,30.4,74.2,71.4,40.8,74.5,56.7,42.6,11.8,46.4,,,
34,ham and cheese sandwich,Schinkensandwich,1,2,2,,19.68,34.84,3.55,201.76,1,380,74.784,132.392,13.49,766.688,0.467068588,0.32756937,0.205362042,0.310618519,34.49235556,55.43917465,0.11837037,0.381079566,15.24600887,96.9,100.0,44.2,29.5,41.6,47.0,29.2,100.0,98.2,50.0,100.0,100.0,100.0,100.0,100.0,51.6,47.2,27.0,30.1,40.3,30.4,19.5,13.2,42.1,39.1,58.5,42.5,56.8,49.5,29.0,30.5,43.9,32.7,6.0,4.1,,,
35,Raffaelo (coconut wafer balls),Raffaelo,1,2,1,3,9,48,37,620,7,70,6.3,33.6,25.9,434,0.407539129,0.348685244,0.243775626,0.244448148,21.7315,42.71083069,0.089574074,0.366433842,15.01674652,59.5,61.6,47.1,31.4,34.5,47.4,28.4,50.6,58.6,66.7,67.7,64.0,54.3,66.7,70.8,55.5,46.4,21.7,47.5,44.5,26.6,17.7,31.1,38.5,33.0,25.0,35.9,56.4,40.6,28.7,56.2,38.5,22.6,23.0,30.4,,,
36,some different cake wedges,diverse Torten,1,2,1,,5.03,16.34,29.63,285.6,6,900,45.27,147.06,266.67,2570.4,0.401934371,0.345743922,0.252321707,0.280696296,32.63149259,60.4332428,0.08937037,0.318388135,16.03915405,93.1,99.9,65.0,45.2,60.9,70.8,47.1,98.5,92.0,100.0,88.9,100.0,99.9,100.0,100.0,68.5,63.3,38.5,69.4,45.8,44.4,27.5,48.9,58.1,62.7,50.5,61.8,74.4,69.3,45.8,74.6,56.7,43.2,28.5,49.0,,,
37,pasta meal,Nudelgericht,1,2,2,,5.39,3.97,18.71,133,1,250,13.475,9.925,46.775,332.5,0.54869329,0.296644074,0.154662636,0.364774074,45.9818037,66.70168304,0.129555556,0.355166567,17.04309464,91.5,94.2,57.6,34.6,49.0,61.6,35.9,95.8,95.4,100.0,75.4,94.4,98.1,100.0,83.9,64.4,58.8,32.0,51.7,41.9,33.2,1.5,35.5,53.4,44.2,54.5,53.5,75.5,61.5,37.0,50.0,52.0,33.3,13.5,26.9,,,
38,chocolate and strawberry ice cream,Schoko-/Erdbeereis,1,2,1,3,4.43,9.6,21.72,191,2,120,5.316,11.52,26.064,229.2,0.498991441,0.331029518,0.169979041,0.213159259,28.09264815,70.49902344,0.074518519,0.349590812,16.22771263,88.5,95.1,61.6,40.0,43.5,67.3,45.5,86.1,83.5,100.0,97.5,92.6,98.5,100.0,88.9,56.8,64.8,49.5,63.8,36.2,38.1,40.7,47.9,42.2,42.3,33.3,50.6,62.2,73.0,65.3,61.1,41.3,49.9,44.5,40.6,,,
39,cake with tangerines,Mandarinenkuchen,1,2,1,,4.02,1.88,30.58,157,1,150,6.03,2.82,45.87,235.5,0.468195535,0.352284421,0.179520044,0.236748148,21.23824815,48.99292374,0.064981481,0.274475142,14.97263336,80.3,91.2,54.1,36.8,39.3,56.0,37.6,74.6,81.4,100.0,77.2,90.0,91.7,100.0,87.5,57.7,54.1,39.2,56.0,39.9,32.8,46.6,34.5,38.8,43.3,30.7,36.7,58.2,53.8,53.6,58.3,44.4,30.7,53.5,32.3,,,
40,pastries,diverses Gebäck(Croissants),1,2,1,,5.54,23.3,38.95,388,10,1100,60.94,256.3,428.45,4268,0.469752463,0.313137855,0.217109682,0.452018519,49.99786296,70.90614319,0.145685185,0.322299152,17.38173103,99.3,100.0,56.9,33.1,46.1,67.3,37.0,98.8,99.8,100.0,99.0,100.0,100.0,100.0,100.0,59.8,55.8,47.8,57.2,39.3,34.4,43.2,22.2,43.9,48.6,57.7,41.6,71.8,69.0,59.3,60.6,45.1,38.2,27.0,27.7,,,
41,Donut with chocolate sprinkles,Donut (Schokostreusel),1,2,1,3,7.82,23,42,454,1,50,3.91,11.5,21,227,0.438205676,0.327056473,0.234737852,0.443062963,55.80013704,63.3758049,0.142351852,0.321290344,16.76563454,100.0,97.6,48.0,28.8,27.2,55.5,34.2,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,55.7,48.3,13.5,47.5,37.0,29.4,1.8,25.5,24.3,28.5,8.3,31.2,65.9,56.2,12.8,53.3,51.6,30.3,3.8,32.4,,,
42,chocolate cake with nuts,Schokonusskuchen,1,2,1,3,6.88,18.31,40.96,359,1,800,55.04,146.48,327.68,2872,0.436740171,0.292549445,0.270710384,0.265396296,29.8851037,62.67413712,0.056851852,0.214214941,16.46067429,95.1,92.3,56.8,39.4,40.6,64.4,38.9,96.6,95.9,100.0,90.0,92.0,92.1,100.0,90.0,55.6,61.5,21.5,63.2,43.9,45.3,15.0,33.0,28.5,54.3,24.0,34.4,56.1,71.0,52.5,65.6,35.1,49.8,16.8,31.2,,,
43,chips,Chips,1,2,2,,5.48,39.4,40.6,535,9,20,1.096,7.88,8.12,107,0.492930431,0.398160116,0.108909454,0.467122222,30.23107037,24.09703636,0.094925926,0.203214323,13.87630939,90.5,98.8,51.3,33.4,24.8,58.2,37.7,83.5,92.4,100.0,93.7,100.0,100.0,100.0,94.4,57.4,46.5,80.0,42.6,35.5,28.4,75.5,26.5,24.0,22.4,27.3,29.9,65.5,55.5,78.7,46.1,43.7,30.7,75.8,30.2,,,
44,cookie (filled with jelly),Keks,1,2,1,,7.78,25.64,56.81,489,1,6,0.4668,1.5384,3.4086,29.34,0.424278248,0.322726463,0.252995289,0.25702963,17.88319259,64.4250946,0.050314815,0.195754921,15.7890873,97.7,97.9,51.9,33.2,32.6,58.0,35.6,94.0,99.0,100.0,100.0,95.2,98.6,100.0,100.0,53.7,56.6,31.5,41.5,34.2,35.1,31.0,27.1,36.8,32.0,17.0,30.7,60.6,64.0,25.5,45.7,39.9,37.9,13.5,27.5,,,
45,Hamburger,Hamburger,1,2,2,5,10.39,9.95,25.01,232,1,250,25.975,24.875,62.525,580,0.471368695,0.351095667,0.177535638,0.485725926,60.45422593,63.43987656,0.120925926,0.248959175,15.48079681,98.2,100.0,42.5,30.0,38.6,47.6,26.8,100.0,100.0,85.7,100.0,100.0,100.0,100.0,100.0,56.5,53.3,24.9,14.9,41.1,35.8,15.4,13.5,39.8,43.2,45.1,24.3,66.4,59.5,35.9,8.0,43.3,35.1,6.3,2.3,,,
46,french fries,Pommes Frites,1,2,2,2,4,14.67,36,290,40,150,6,22.005,54,435,0.471900726,0.36225973,0.165839544,0.340440741,29.8817,48.4964447,0.135240741,0.397251928,14.89800262,99.6,99.6,48.4,35.1,26.5,54.9,37.0,98.6,100.0,100.0,100.0,98.6,100.0,100.0,100.0,46.6,45.5,59.7,52.9,32.8,32.1,48.0,40.2,23.8,26.7,23.3,31.1,47.5,56.6,59.0,61.0,33.2,33.4,46.0,46.4,,,
47,french fries and chicken drumsticks,"Pommes,Hähnchenkeule",1,2,2,5,15.6,10.4,9.8,198,2,600,93.6,62.4,58.8,1188,0.512732745,0.34508016,0.142187095,0.356403704,36.5995963,50.28887939,0.135851852,0.381174074,15.85564995,92.1,98.9,43.8,32.1,44.6,53.2,32.7,82.6,92.5,100.0,99.2,98.9,98.3,100.0,99.3,57.4,54.3,17.3,15.0,42.8,36.0,9.9,23.3,43.8,48.8,34.5,42.4,66.6,65.3,32.2,15.6,52.3,36.7,16.8,4.0,,,
48,chocolate muffin,Schokomuffin,1,2,1,3,7.84,11.56,37.31,286,4,320,25.088,36.992,119.392,915.2,0.462052375,0.345687319,0.192260306,0.466040741,45.3314,47.98492813,0.105518519,0.226414794,15.98443413,99.2,100.0,57.6,41.7,29.1,63.8,42.5,97.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,60.9,31.3,55.1,47.2,41.3,25.8,38.3,27.3,32.5,14.5,27.9,65.5,69.6,26.0,57.6,56.4,43.0,9.8,28.5,,,
49,chocolate popsicles,3 schokoEis am Stiel,1,2,1,3,3.5,19,29,300,3,240,8.4,45.6,69.6,720,0.657087505,0.214801385,0.12811111,0.245985185,42.18835926,75.12365723,0.046333333,0.188358227,14.65009308,100.0,99.4,55.4,37.0,25.4,66.9,39.7,100.0,100.0,100.0,100.0,98.3,100.0,100.0,100.0,49.3,64.5,55.3,47.5,40.4,39.1,21.8,32.1,27.1,25.9,8.5,27.3,64.8,76.1,64.2,52.4,46.4,48.0,9.8,20.7,,,
50,donuts and pastries,diverses Gebäck (Donuts),1,2,1,,6.14,16.02,27.76,338.11,9,750,46.05,120.15,208.2,2535.825,0.456116542,0.330686731,0.213196727,0.461474074,47.91293704,52.82055283,0.171444444,0.371514792,16.88278008,98.8,100.0,51.6,38.2,48.7,58.8,41.8,95.5,99.6,100.0,100.0,100.0,100.0,100.0,100.0,57.0,58.3,23.5,43.2,51.3,38.9,17.6,30.9,50.9,48.2,39.3,50.9,71.3,64.9,25.8,46.0,59.0,42.4,17.4,32.0,,,
